FAT Phase 3 V2 Training Log (Combined Loss)
======================================================================
Num epochs: 10
Batch size: 1
Max ahead: 3
Learning rate: 1e-05
Weight decay: 0.0001
Lambda flow: 1.0
Lambda calib: 0.0001
GradScaler: Enabled
Alternating training: Disabled (train both)
Validation: Enabled
Benchmark: Enabled
Device: cuda:0
======================================================================

[TRAIN] Epoch 1 | Batch 420/8005 | Loss: -0.339821 | Flow: -0.341166 | Calib: 13.4520 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 430/8005 | Loss: -0.256187 | Flow: -0.259001 | Calib: 28.1454 | CalibContrib: 1.1%
[TRAIN] Epoch 1 | Batch 440/8005 | Loss: -0.331369 | Flow: -0.333796 | Calib: 24.2661 | CalibContrib: 0.7%
[TRAIN] Epoch 1 | Batch 450/8005 | Loss: -0.333438 | Flow: -0.334367 | Calib: 9.2903 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 460/8005 | Loss: -0.319021 | Flow: -0.319846 | Calib: 8.2449 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 470/8005 | Loss: -0.320998 | Flow: -0.321505 | Calib: 5.0742 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 480/8005 | Loss: -0.293318 | Flow: -0.294277 | Calib: 9.5844 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 490/8005 | Loss: -0.346444 | Flow: -0.347279 | Calib: 8.3567 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 500/8005 | Loss: -0.317577 | Flow: -0.318615 | Calib: 10.3841 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 510/8005 | Loss: -0.334289 | Flow: -0.335488 | Calib: 11.9887 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 520/8005 | Loss: -0.330541 | Flow: -0.331480 | Calib: 9.3913 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 530/8005 | Loss: -0.314985 | Flow: -0.315581 | Calib: 5.9579 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 540/8005 | Loss: -0.342006 | Flow: -0.343498 | Calib: 14.9257 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 550/8005 | Loss: -0.292897 | Flow: -0.294151 | Calib: 12.5417 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 560/8005 | Loss: -0.332306 | Flow: -0.332806 | Calib: 5.0048 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 570/8005 | Loss: -0.300806 | Flow: -0.301760 | Calib: 9.5418 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 580/8005 | Loss: -0.318948 | Flow: -0.320284 | Calib: 13.3580 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 590/8005 | Loss: -0.327559 | Flow: -0.328719 | Calib: 11.5965 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 600/8005 | Loss: -0.326981 | Flow: -0.328194 | Calib: 12.1317 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 610/8005 | Loss: -0.314014 | Flow: -0.314735 | Calib: 7.2069 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 620/8005 | Loss: -0.337252 | Flow: -0.337933 | Calib: 6.8083 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 630/8005 | Loss: -0.312845 | Flow: -0.313815 | Calib: 9.7066 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 640/8005 | Loss: -0.342493 | Flow: -0.342866 | Calib: 3.7360 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 650/8005 | Loss: -0.312568 | Flow: -0.315235 | Calib: 26.6777 | CalibContrib: 0.8%
[TRAIN] Epoch 1 | Batch 660/8005 | Loss: -0.339492 | Flow: -0.339908 | Calib: 4.1541 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 670/8005 | Loss: -0.347261 | Flow: -0.348425 | Calib: 11.6391 | CalibContrib: 0.3%
[TRAIN] Epoch 1 | Batch 680/8005 | Loss: -0.297057 | Flow: -0.297630 | Calib: 5.7355 | CalibContrib: 0.2%
