DA3 Stage 3 Training Log
======================================================================
Num epochs: 50
Batch size: 2
Validation: Enabled
Pose Benchmark: Enabled (100 samples/epoch)
Device: cuda:0
======================================================================

[TRAIN] Epoch 1/50 | Batch 840/7987 | Loss: -0.364177
[TRAIN] Epoch 1/50 | Batch 850/7987 | Loss: -0.367773
[TRAIN] Epoch 1/50 | Batch 860/7987 | Loss: -0.368291
[TRAIN] Epoch 1/50 | Batch 870/7987 | Loss: -0.354460
[TRAIN] Epoch 1/50 | Batch 880/7987 | Loss: -0.386001
[TRAIN] Epoch 1/50 | Batch 890/7987 | Loss: -0.371340
[TRAIN] Epoch 1/50 | Batch 900/7987 | Loss: -0.391763
[TRAIN] Epoch 1/50 | Batch 910/7987 | Loss: -0.370315
[TRAIN] Epoch 1/50 | Batch 920/7987 | Loss: -0.372744
[TRAIN] Epoch 1/50 | Batch 930/7987 | Loss: -0.390299
[TRAIN] Epoch 1/50 | Batch 940/7987 | Loss: -0.366067
[TRAIN] Epoch 1/50 | Batch 950/7987 | Loss: -0.378879
[TRAIN] Epoch 1/50 | Batch 960/7987 | Loss: -0.371587
[TRAIN] Epoch 1/50 | Batch 970/7987 | Loss: -0.378455
[TRAIN] Epoch 1/50 | Batch 980/7987 | Loss: -0.378754
[TRAIN] Epoch 1/50 | Batch 990/7987 | Loss: -0.387491
[TRAIN] Epoch 1/50 | Batch 1000/7987 | Loss: -0.375303
[TRAIN] Epoch 1/50 | Batch 1010/7987 | Loss: -0.376670
[TRAIN] Epoch 1/50 | Batch 1020/7987 | Loss: -0.378051
[TRAIN] Epoch 1/50 | Batch 1030/7987 | Loss: -0.368583
[TRAIN] Epoch 1/50 | Batch 1040/7987 | Loss: -0.349969
[TRAIN] Epoch 1/50 | Batch 1050/7987 | Loss: -0.379235
[TRAIN] Epoch 1/50 | Batch 1060/7987 | Loss: -0.388829
[TRAIN] Epoch 1/50 | Batch 1070/7987 | Loss: -0.380154
[TRAIN] Epoch 1/50 | Batch 1080/7987 | Loss: -0.385390
[TRAIN] Epoch 1/50 | Batch 1090/7987 | Loss: -0.383937
[TRAIN] Epoch 1/50 | Batch 1100/7987 | Loss: -0.363690
[TRAIN] Epoch 1/50 | Batch 1110/7987 | Loss: -0.365728
[TRAIN] Epoch 1/50 | Batch 1120/7987 | Loss: -0.366256
[TRAIN] Epoch 1/50 | Batch 1130/7987 | Loss: -0.367341
[TRAIN] Epoch 1/50 | Batch 1140/7987 | Loss: -0.379574
[TRAIN] Epoch 1/50 | Batch 1150/7987 | Loss: -0.368025
[TRAIN] Epoch 1/50 | Batch 1160/7987 | Loss: -0.368136
[TRAIN] Epoch 1/50 | Batch 1170/7987 | Loss: -0.369692
[TRAIN] Epoch 1/50 | Batch 1180/7987 | Loss: -0.363628
[TRAIN] Epoch 1/50 | Batch 1190/7987 | Loss: -0.379973
[TRAIN] Epoch 1/50 | Batch 1200/7987 | Loss: -0.365519
[TRAIN] Epoch 1/50 | Batch 1210/7987 | Loss: -0.367290
[TRAIN] Epoch 1/50 | Batch 1220/7987 | Loss: -0.367992
[TRAIN] Epoch 1/50 | Batch 1230/7987 | Loss: -0.366406
[TRAIN] Epoch 1/50 | Batch 1240/7987 | Loss: -0.377375
