epoch,total,val_loss,flow,calib,lr,time,val_rot_div_mean,val_rot_div_median,val_trans_dir_div_mean,val_trans_mag_div_mean,val_calib_fx_mae,val_calib_fy_mae
1,-0.46422445507801846,-0.46517559742772735,-0.46566300314375764,14.385481132233116,0.0001,11361.9,0.5007821321487427,0.48323386907577515,51.96662092208862,0.009436908934731036,86.56269073486328,59.549556732177734
2,-0.46485806385584294,-0.4690594603488972,-0.46654485635390597,16.867921556735425,0.0001,11410.3,0.5062156468629837,0.4752647131681442,44.399813175201416,0.009344453748781234,100.03282928466797,57.10057067871094
3,-0.4652831476852814,-0.4708699483376045,-0.46700804573042837,17.24898302761567,0.0001,11449.2,0.5066986158490181,0.4903980791568756,47.903212547302246,0.009479415253736079,93.4343032836914,62.06511688232422
4,-0.46545351648974226,-0.46624239203217743,-0.46728681148337436,18.332948376207373,0.0001,11483.1,0.514667809009552,0.5088318139314651,47.8277268409729,0.009281059727072716,97.80973052978516,58.1534309387207
5,-0.4660658729122844,-0.47085046450813095,-0.4679081571303463,18.42284558193788,0.0001,11462.0,0.5135005787014961,0.49949418008327484,45.83593511581421,0.009245745721273124,96.06391143798828,56.55270004272461
6,-0.466285867203569,-0.4698518544048458,-0.46820801921515764,19.221523653414728,0.0001,11432.3,0.5153922662138939,0.5070608854293823,43.641376972198486,0.009205776819726452,95.75771713256836,59.375091552734375
7,-0.4665332733509378,-0.46593684987588363,-0.46848223607892525,19.489627183516085,0.0001,11389.7,0.5137420743703842,0.48589026927948,45.81513214111328,0.009516924677882344,85.87688446044922,58.88938522338867
