DA3 Stage 3 Training Log
======================================================================
Num epochs: 20
Batch size: 4
Validation: Enabled
Pose Benchmark: Enabled (20 samples/epoch)
Device: cuda:0
======================================================================

[TRAIN] Epoch 1/20 | Batch 840/2019 | Loss: -0.434016
[TRAIN] Epoch 1/20 | Batch 850/2019 | Loss: -0.424179
[TRAIN] Epoch 1/20 | Batch 860/2019 | Loss: -0.446786
[TRAIN] Epoch 1/20 | Batch 870/2019 | Loss: -0.438015
[TRAIN] Epoch 1/20 | Batch 880/2019 | Loss: -0.446596
[TRAIN] Epoch 1/20 | Batch 890/2019 | Loss: -0.436238
[TRAIN] Epoch 1/20 | Batch 900/2019 | Loss: -0.419805
[TRAIN] Epoch 1/20 | Batch 910/2019 | Loss: -0.427918
[TRAIN] Epoch 1/20 | Batch 920/2019 | Loss: -0.437240
[TRAIN] Epoch 1/20 | Batch 930/2019 | Loss: -0.440922
[TRAIN] Epoch 1/20 | Batch 940/2019 | Loss: -0.418084
[TRAIN] Epoch 1/20 | Batch 950/2019 | Loss: -0.435623
[TRAIN] Epoch 1/20 | Batch 960/2019 | Loss: -0.436220
[TRAIN] Epoch 1/20 | Batch 970/2019 | Loss: -0.432504
[TRAIN] Epoch 1/20 | Batch 980/2019 | Loss: -0.427154
[TRAIN] Epoch 1/20 | Batch 990/2019 | Loss: -0.425424
[TRAIN] Epoch 1/20 | Batch 1000/2019 | Loss: -0.434981
[TRAIN] Epoch 1/20 | Batch 1010/2019 | Loss: -0.446869
[TRAIN] Epoch 1/20 | Batch 1020/2019 | Loss: -0.433992
[TRAIN] Epoch 1/20 | Batch 1030/2019 | Loss: -0.436884
[TRAIN] Epoch 1/20 | Batch 1040/2019 | Loss: -0.427870
[TRAIN] Epoch 1/20 | Batch 1050/2019 | Loss: -0.431913
[TRAIN] Epoch 1/20 | Batch 1060/2019 | Loss: -0.442563
[TRAIN] Epoch 1/20 | Batch 1070/2019 | Loss: -0.423237
[TRAIN] Epoch 1/20 | Batch 1080/2019 | Loss: -0.439945
[TRAIN] Epoch 1/20 | Batch 1090/2019 | Loss: -0.438278
[TRAIN] Epoch 1/20 | Batch 1100/2019 | Loss: -0.423162
[TRAIN] Epoch 1/20 | Batch 1110/2019 | Loss: -0.437490
[TRAIN] Epoch 1/20 | Batch 1120/2019 | Loss: -0.422517
[TRAIN] Epoch 1/20 | Batch 1130/2019 | Loss: -0.438216
[TRAIN] Epoch 1/20 | Batch 1140/2019 | Loss: -0.428911
[TRAIN] Epoch 1/20 | Batch 1150/2019 | Loss: -0.439180
[TRAIN] Epoch 1/20 | Batch 1160/2019 | Loss: -0.434512
[TRAIN] Epoch 1/20 | Batch 1170/2019 | Loss: -0.424286
[TRAIN] Epoch 1/20 | Batch 1180/2019 | Loss: -0.431331
[TRAIN] Epoch 1/20 | Batch 1190/2019 | Loss: -0.417889
[TRAIN] Epoch 1/20 | Batch 1200/2019 | Loss: -0.427223
[TRAIN] Epoch 1/20 | Batch 1210/2019 | Loss: -0.441315
[TRAIN] Epoch 1/20 | Batch 1220/2019 | Loss: -0.416586
[TRAIN] Epoch 1/20 | Batch 1230/2019 | Loss: -0.434642
[TRAIN] Epoch 1/20 | Batch 1240/2019 | Loss: -0.424230
[TRAIN] Epoch 1/20 | Batch 1250/2019 | Loss: -0.428171
[TRAIN] Epoch 1/20 | Batch 1260/2019 | Loss: -0.430357
[TRAIN] Epoch 1/20 | Batch 1270/2019 | Loss: -0.443950
[TRAIN] Epoch 1/20 | Batch 1280/2019 | Loss: -0.423082
[TRAIN] Epoch 1/20 | Batch 1290/2019 | Loss: -0.437662
[TRAIN] Epoch 1/20 | Batch 1300/2019 | Loss: -0.430068
[TRAIN] Epoch 1/20 | Batch 1310/2019 | Loss: -0.429256
[TRAIN] Epoch 1/20 | Batch 1320/2019 | Loss: -0.434739
[TRAIN] Epoch 1/20 | Batch 1330/2019 | Loss: -0.433975
[TRAIN] Epoch 1/20 | Batch 1340/2019 | Loss: -0.428070
[TRAIN] Epoch 1/20 | Batch 1350/2019 | Loss: -0.443867
[TRAIN] Epoch 1/20 | Batch 1360/2019 | Loss: -0.423006
[TRAIN] Epoch 1/20 | Batch 1370/2019 | Loss: -0.421690
[TRAIN] Epoch 1/20 | Batch 1380/2019 | Loss: -0.422168
[TRAIN] Epoch 1/20 | Batch 1390/2019 | Loss: -0.420872
[TRAIN] Epoch 1/20 | Batch 1400/2019 | Loss: -0.439270
[TRAIN] Epoch 1/20 | Batch 1410/2019 | Loss: -0.424178
[TRAIN] Epoch 1/20 | Batch 1420/2019 | Loss: -0.440959
[TRAIN] Epoch 1/20 | Batch 1430/2019 | Loss: -0.444100
[TRAIN] Epoch 1/20 | Batch 1440/2019 | Loss: -0.432922
