epoch,total,val_loss,flow,calib,lr,time,val_rot_div_mean,val_rot_div_median,val_trans_dir_div_mean,val_trans_mag_div_mean,val_calib_fx_mae,val_calib_fy_mae
1,22.18325742701623,7.834545881453581,0,22.18325742701623,0.0001,18475.2,,,,,38.53944396972656,45.12667465209961
2,6.519632873124944,5.018221340736785,0,6.519632873124944,0.0001,18384.8,,,,,48.455657958984375,43.494503021240234
3,4.829262923960322,7.7151141458982,0,4.829262923960322,0.0001,19113.1,,,,,55.18712615966797,50.46519088745117
4,3.980953435500004,7.405939364185581,0,3.980953435500004,0.0001,18497.0,,,,,58.247047424316406,55.462242126464844
5,3.5281376036912135,4.406414254609641,0,3.5281376036912135,0.0001,18440.4,,,,,49.13957214355469,48.78795623779297
6,3.12468416879758,4.97740064193676,0,3.12468416879758,0.0001,18552.5,,,,,43.031593322753906,40.954437255859375
7,2.8460772363593754,8.14035391832327,0,2.8460772363593754,0.0001,18446.0,,,,,60.33803176879883,60.692543029785156
