epoch,total,val_loss,flow,calib,lr,time,val_rot_div_mean,val_rot_div_median,val_trans_dir_div_mean,val_trans_mag_div_mean,val_calib_fx_mae,val_calib_fy_mae
1,-0.3726455711340142,-0.453839951036382,-0.3726455711340142,0,0.0001,5046.9,0.5121484398841858,0.4240688979625702,43.01465368270874,0.00925957498839125,,
2,-0.4534306474116052,-0.461650505383727,-0.4534306474116052,0,0.0001,4393.3,0.5024853870272636,0.44153665006160736,39.26154088973999,0.009154449624475092,,
3,-0.45742531658750346,-0.46717904526663023,-0.45742531658750346,0,0.0001,4431.3,0.4969650134444237,0.4299451559782028,43.14031934738159,0.009168139658868313,,
4,-0.4582778651207066,-0.46398122216037696,-0.4582778651207066,0,0.0001,4272.8,0.4959523603320122,0.45481862127780914,41.548954010009766,0.00922476322739385,,
5,-0.45943083463722784,-0.4626184223969448,-0.45943083463722784,0,0.0001,4196.4,0.4989759400486946,0.45159871876239777,44.04816818237305,0.00930360981146805,,
6,-0.45953266690668004,-0.4638088397156154,-0.45953266690668004,0,0.0001,3252.6,0.5022103413939476,0.4400072395801544,40.341392993927,0.009245167893823236,,
7,-0.4605253644425241,-0.46294788404124404,-0.4605253644425241,0,0.0001,3593.9,0.5044849812984467,0.4629487693309784,43.01582145690918,0.009394173393957317,,
8,-0.4609623055793259,-0.47105932078049884,-0.4609623055793259,0,0.0001,4082.5,0.5029957965016365,0.4676980674266815,40.69207954406738,0.009239342150976881,,
